title,description,contentPath,url,contentType,thread,link,
Shamisen,"Shamisen is one of Japan’s most famous traditional instruments, along with the Koto and Biwa. Played with a tab called a gachi, the three-stringed i

This Year, we are proud to present Keio University’s Otoha to perform some shamisen melodies at Matsuri. Otoha (弦音巴) is a music group dedicated to the arts of the Tsugaru Shamisen. Originating from the northern Tsugaru region in Japan’s Aomori Prefecture, it is different from normal shamisen in that the instrument’s necks are much wider, creating a larger auditory impact. Please join us on April 11th to hear more about the unique Tsugaru-Shamisen!
",/matsuri/schedule,https://pbs.twimg.com/profile_images/958230877531643904/PG6b7kNv_400x400.jpg,0,music,https://otohakeio.wixsite.com/keiootoha
Snow Country by Kawabata Yasunari,"Set in pre-war Japan, it captures the snowy environs of Japan's Western Niigata Prefecture. Indeed, the setting is both a backdrop of the novel's plot and a character in and of itself. Tokyo dilettante Shimamura, who vacations in the Snow Country in the winters, begins a doomed romance with a Geisha, Komako. Kawabata captures a moment when Japan's traditional aspects intermingled with modernization, and thus creates a gripping tale of human hubris and superficiality.",/about/,https://d3525k1ryd2155.cloudfront.net/h/513/036/648036513.0.x.1.jpg,0,literature
Kitchen by Yoshimoto Banana,"One of the more modern books on our list, Kitchen was the breakthrough novel of Yoshimoto Banana, published in 1988, at the end of Japan's bubble era, it's prescient subject matter and spell-binding prose made it one of the most well-received Japanese novels worldwide. After the death of her grandmother, Mikage moves in with her friend, Yuichi and his transgender mother, Eriko. The book primarily deals with loss and love, and Japan at the end of its economic peak.",/about/,https://images-na.ssl-images-amazon.com/images/I/61kiGe7H6RL.jpg,0,literature
An I-Novel by Minae Mizumura,"Originally published in 1995, the English translation was released only last month. Named after the semi-biographic novels that dominated the Japanese literary scene in the 20th century, An I-novel recounts Mizumura's time in the United States from when she moved there at the age of 12. The novel explores the English language from a Japanese perspective, writing especially weird words like New Jersey in bold to denote its foreignness. In the end, it's a story of the refusal to assimilate, as it begins as Mizumura decides to return to Japan.",/about/,https://cup-us.imgix.net/covers/9780231192125.jpg?auto=format&w=350,0,literature
Kafka on the Shore by Haruki Murakami,"One of the most popular Japanese novels of the 21st Century, Kafka on the Shore presents the reader with a bevy of metaphysical riddles and challenges that require multiple readings to solve. The novel is two stories in parallel, one concerning Kafka, an adolescent who seeks refuge in a library, and the other concerns Nakata, an illiterate man who can talk to cats. Murakami's prose, references to great music, and general mystery made this novel a hit all over the world.",/about/,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429638085l/4929.jpg,0,literature
Video Games,"Japan has one of the most prolific game industries in the world. Japanese companies have produced many iconic game franchises that are well known worldwide, including Final Fantasy, Pokemon, Street Fighter, Metal Gear Solid, and many more. Companies such as Nintendo, Namco, Sega are household names that people recognize. There are also lots of secrets and little known facts about these games that might interest you too!
Join us for an exciting session to test your knowledge on the many famous games that you are familiar with and see how many questions you can get right!",/about/,/images/matsuri-banner.png,0,games
Karuta,"Karuta is a general name for a type of japanese cards. There are two main types of karuta, uta-garuta and iroha karuta, the former being for adults and the latter for children. Uta garuta are poem cards and iroha karuta feature proverbs. There is also a competitive sport/game that involves karuta, which requires the players to try to touch the corresponding parts of a poem being read out loud! 
Come join us and learn about the interesting sport of karuta and maybe play a game yourself in the future!",/about/,https://www.keio.ac.jp/en/keio-times/files/2016/9/pic_01.jpg,0,games
Taiko,"Taiko, a japanese version of the drum, is an integral part of any matsuri. From the historical Gion Matsuri to the Obon Matsuri, the drum beats can be heard around the city creating a jubilous atmosphere. Continuing on for 2021, CMU JSA is proud to present Pittsburgh Taiko! From in-person to virtual, we hope that you will join us on April 10th to listen to the roaring drums to symbolize the coming of spring in Pittsburgh and anywhere you may be!",/about/,http://pittsburghtaiko.com/wp-content/uploads/2017/07/CMU-matsuri-2017-44-1024x682.jpg,0,music,http://pittsburghtaiko.com/
"Shakuhachi - Itou Satoshi","Itou Satoshi, performing on April 10th will be performing two pieces central to the greater cause of Matsuri. The first piece is Amazing Grace. Symbolizing international peace and unity, the piece encompasses the central cause of Matsuri. The second piece is called the Sea of Spring (春の海), a traditional Japanese piece played on New Years. Symbolizing the wave of spring and new coming to the year, it will beckon for Matsuri to bring in the new times in our global community.",/about/,/images/matsuri-banner.png,0,music
